"id","13","0","5","14","12"
"Role.Witch","<color=#BF5FFF>女巫</color>","<color=#BF5FFF>Witch</color>","<color=#BF5FFF>Заклинатель</color>","<color=#BF5FFF>Witch</color>","<color=#BF5FFF>Bruja</color>"
"Role.Pursuer","<color=#617218>追击者</color>","<color=#617218>Pursuer</color>","<color=#617218>Преследователь</color>","<color=#617218>Pursuer</color>","<color=#617218>Perseguidor</color>"
"Role.Follower","<color=#ff9409>赌徒</color>","<color=#ff9409>Follower</color>","<color=#ff9409>Последователь</color>","<color=#ff9409>Follower</color>","<color=#ff9409>Seguidor</color>"
"Role.Amnesiac","<color=#7FBFFF>失忆者</color>","<color=#7FBFFF>Amnesiac</color>","<color=#7FBFFF>Амнезияк</color>","<color=#7FBFFF>Amnesiac</color>","<color=#7FBFFF>Amnésico</color>"
"Role.Sheriff","<color=#ffb347>警长</color>","<color=#ffb347>Sheriff</color>","<color=#ffb347>Шериф</color>","<color=#ffb347>Sheriff</color>","<color=#ffb347>Sheriff</color>"
"Role.Knight","<color=#7A7A7A>侠客</color>","<color=#7A7A7A>Knight</color>","<color=#7A7A7A>Линчеватель</color>","<color=#7A7A7A>Knight</color>","<color=#7A7A7A>Caballero</color>"
"Role.Deputy","<color=#DF9026>捕快</color>","<color=#DF9026>Deputy</color>","<color=#DF9026>Заместитель</color>","<color=#DF9026>Deputy</color>","<color=#DF9026>Diputado</color>"

"## 猜测模式 / Guesser Mode"
"GuesserMode","猜测模式","Guesser Mode","Режим Угадывателей","Guesser Mode","Modo Adivino"
"CrewmatesCanGuess","<color=#8cffff>船员阵营</color>可以猜测","<color=#8cffff>Crewmates</color> can guess","<color=#8cffff>Члены Экипажа</color> могут угадывать роли","<color=#8cffff>Crewmates</color> can guess","Los <color=#8cffff>Tripulantes</color> pueden adivinar"
"ImpostorsCanGuess","<color=#ff1919>内鬼阵营</color>可以猜测","<color=#ff1919>Impostors</color> can guess","<color=#ff1919>Предатели</color> могут угадывать роли","<color=#ff1919>Impostors</color> can guess","Los <color=#ff1919>Impostores</color> pueden adivinar"
"NeutralKillersCanGuess","<color=#ffab1b>带刀中立</color>可以猜测","<color=#7f8c8d>Neutral Killers</color> can guess","<color=#7f8c8d>Нейтральные Убийцы</color> могут угадывать роли","<color=#7f8c8d>Neutral Killers</color> can guess","Los <color=#7f8c8d>Asesinos Neutros</color> pueden"
"PassiveNeutralsCanGuess","<color=#ffab1b>无刀中立</color>可以猜测","Passive <color=#7f8c8d>Neutrals</color> can guess","Пассивные <color=#7f8c8d>Нейтралы</color> могут угадывать роли","Passive <color=#7f8c8d>Neutrals</color> can guess","Los <color=#7f8c8d>Neutros</color> pasivos pueden adivinar"
"CovenCanGuess","<color=#663399>巫师</color>阵营的玩家可以猜测","<color=#663399>Coven</color> members can guess","<color=#663399>Ковены</color> могут угадывать роли","<color=#663399>Coven</color> members can guess","El <color=#663399>Aquelarre</color> puede adivinar"
"CanGuessAddons","可以猜测附加职业","Can Guess Add-ons","Могут угадывать Атрибуты","Can Guess Add-ons","Se pueden adivinar complementos"
"CrewCanGuessCrew","<color=#8cffff>船员阵营</color>可以猜测 <color=#8cffff>船员</color>的身份","<color=#8cffff>Crewmates</color> Can Guess <color=#8cffff>Crewmate</color> Roles","<color=#8cffff>Члены Экипажа</color> могут угадать роли других <color=#8cffff>Членов Экипажа</color>","<color=#8cffff>Crewmates</color> Can Guess <color=#8cffff>Crewmate</color> Roles","Los <color=#8cffff>Tripulantes</color> pueden adivinarse entre ellos"
"ImpCanGuessImp","<color=#ff1919>内鬼阵营</color>可以猜测<color=#ff1919>内鬼</color>的身份","<color=#ff1919>Impostors</color> Can Guess <color=#ff1919>Impostor</color> Roles","<color=#ff1919>Предатели</color> могут угадать роли других <color=#ff1919>Предателей</color>","<color=#ff1919>Impostors</color> Can Guess <color=#ff1919>Impostor</color> Roles","Los <color=#ff1919>Impostores</color> pueden adivinarse entre ellos"

"## 猜测模式-附加职业配置 / Guesser Mode - Addon Config"
"AddonSettingsCrew","<color=#8cffff>船员</color>配置","<color=#8cffff>Crewmate</color> Configuration","Настройка <color=#8cffff>Членов Экипажа</color>","<color=#8cffff>Crewmate</color> Configuration","Configuración de <color=#8cffff>Tripulantes</color>"
"AddonSettingsImp","<color=#ff1919>内鬼</color>配置","<color=#ff1919>Impostor</color> Configuration","Настройка <color=#ff1919>Предателей</color>","<color=#ff1919>Impostor</color> Configuration","Configuración de <color=#ff1919>Impostores</color>"
"AddonSettingsNeut","<color=#7f8c8d>中立</color>配置","<color=#7f8c8d>Neutral</color> Configuration","Настройка <color=#7f8c8d>Нейтралов</color>","<color=#7f8c8d>Neutral</color> Configuration","Configuración de <color=#7f8c8d>Neutros</color>"

"## 猜测模式-附加职业配置设置 / Guesser Mode - Addon Config Settings"
"ClaimAddonSettings","可以猜测可申请的附加职业","Can guess claimable add-ons","Может угадать требуемые атрибуты","Can guess claimable add-ons","Se pueden adivinar complementos reclamables"
"BetrayalAddonSettings","可以猜测背叛的附加职业","Can guess betrayal add-ons","Может угадать предательские атрибуты","Can guess betrayal add-ons","Se pueden adivinar complementos de traición"
"ImpOnlyAddonSettings","可以猜测<color=#ff1919>内鬼</color>附加职业","Can guess <color=#ff1919>Impostor</color> add-ons","Может угадать атрибуты <color=#ff1919>Предателей</color>","Can guess <color=#ff1919>Impostor</color> add-ons","Se pueden adivinar <color=#ff1919>Impostores</color>"
"CrewOnlyAddonSettings","可以猜测<color=#8cffff>船员</color>附加职业","Can guess <color=#8cffff>Crewmate</color> add-ons","Может угадать атрибуты <color=#8cffff>Членов Экипажа</color>","Can guess <color=#8cffff>Crewmate</color> add-ons","Se pueden adivinar <color=#8cffff>Tripulantes</color>"
"NeutralAddonSettings","可以猜测<color=#7f8c8d>中立</color>附加职业","Can guess <color=#7f8c8d>Neutral</color> add-ons","Может угадать атрибуты <color=#7f8c8d>Нейтралов</color>","Can guess <color=#7f8c8d>Neutral</color> add-ons","Se pueden adivinar <color=#7f8c8d>Neutros</color>"
"BasicAddonSettings","可以猜测全部附加职业","Can guess global add-ons","Может угадать глобальные атрибуты","Can guess global add-ons","Se pueden adivinar complementos globales"

"## 职业 / Roles"

"# 其它 / Other"
"GM","管理员","Game Master","Мастер Игры","GM(遊戲大師)","Administrador"

"# 隐藏 / Hidden"
"Sunnyboy","阳光开朗大男孩","Sunnyboy","Солнечный Мальчик","陽光開朗大男孩","Chico Soleado"
"Bard","吟游诗人","Bard","Бард","吟遊詩人","Bardo"
"Nuker","核武器","Nuker","Крипер","Nuker","Bomba Atómica"

"# 原版职业 / Vanilla"
"Crewmate","船员","Crewmate","Член Экипажа","船員","Tripulante"
"Engineer","工程师","Engineer","Инженер","工程師","Ingeniero"
"Scientist","科学家","Scientist","Ученый","科學家","Cientifico"
"GuardianAngel","守护天使","Guardian Angel","Ангел-хранитель","守護天使","Angel De La Guarda"
"Impostor","内鬼","Impostor","Предатель","偽裝者","Impostor"
"Shapeshifter","变形者","Shapeshifter","Оборотень","變形者","Cambiaformas"

"# Vanilla Remakes"
"EngineerTOHE","工程师","Engineer","Инженер","工程師","Ingeniero"
"ScientistTOHE","科学家","Scientist","Ученый","科學家","Cientifico"
"ShapeshifterTOHE","变形者","Shapeshifter","Оборотень","變形者","Cambiaformas"
"GuardianAngelTOHE","守护天使","Guardian Angel","Ангел-хранитель","守護天使","Angel De La Guarda"
"ImpostorTOHE","内鬼","Impostor","Предатель","Impostor","Impostor"
"CrewmateTOHE","船员","Crewmate","Член Экипажа","船員","Tripulante"

"# 内鬼阵营 / Impostors"
"BountyHunter","赏金猎人","Bounty Hunter","Охотник за Головами","賞金獵人","Caza-recompensas"
"FireWorks","烟花商人","Fireworker","Фейерверк","煙火工匠","Fuegos Artificiales"
"SerialKiller","嗜血杀手","Mercenary","Серийный Убийца","嗜血殺手","Mercenario"
"ShapeMaster","千面鬼","Shapemaster","Шпион","百變怪","As Cambiaformas"
"Vampire","吸血鬼","Vampire","Вампир","吸血鬼","Vampiro"
"Warlock","术士","Warlock","Колдун","術士","Brujo"
"Assassin","刺客","Ninja","Ассасин","刺客","Ninja"
"Zombie","僵尸","Zombie","Зомби","僵屍","Zombi"
"Hacker","骇客","Anonymous","Хакер","駭客","Anónimo"
"Miner","矿工","Miner","Шахтер","礦工","Minero"
"Minimalism","杀戮机器","Killing Machine","Машина для Убийств","殺人機器","Máquina De Matar"
"Escapee","逃逸者","Escapist","Беглец","通緝犯","Escapista"
"Witch","女巫","Spellcaster","Ведьма","女巫","Mago"
"Mafia","黑手党","Nemesis","Мафия","黑手黨","Némesis"
"Puppeteer","傀儡师","Puppeteer","Кукловод","傀儡師","Titiritero"
"TimeThief","蚀时者","Time Thief","Вор Времени","時間竊賊","Ladrón del Tiempo"
"Sniper","狙击手","Sniper","Снайпер","狙擊手","Francotirador"
"EvilTracker","邪恶追踪者","Agent","Злой Трекер","邪惡追蹤者","Agente"
"EvilGuesser","邪恶赌怪","Assassin","Злой Угадыватель","邪惡賭怪","Asesino"
"AntiAdminer","监管者","Disruptor","Анти Админер","監管者","Perturbador"
"Sans","狂妄杀手","Arrogance","Высокомер","狂妄殺手","Arrogante"
"Bomber","自爆兵","Bomber","Бомбер","自爆兵","Bombardero"
"Scavenger","清道夫","Scavenger","Уборщик","清道夫","Carroñero"
"BoobyTrap","诡雷","Trapster","Ловец","陷阱師","Trampa Cazabobos"
"Capitalism","资本家","Capitalist","Капиталист","資本主義者","Capitalista"
"Gangster","歹徒","Gangster","Гангстер","教父","Gangster"
"Cleaner","清理工","Cleaner","Очиститель","清潔工","Limpiador"
"BallLightning","球状闪电","Lightning","Молния","球狀閃電","Rayo Esférico"
"Greedier","贪婪者","Greedy","Жадина","貪婪者","Ávaro"
"CursedWolf","呪狼","Cursed Wolf","Проклятый Волк","被詛咒的狼","Lobo Maldito"
"ImperiusCurse","夺魂者","Soul Catcher","Имитатор","換魂師","Segador de almas"
"QuickShooter","快枪手","Quick Shooter","Стрелок","快槍手","DisparaRapido"
"Camouflager","隐蔽者","Camouflager","Камуфляжер","Camouflager","Camuflador"
"Eraser","抹除者","Eraser","Стирачка","抹除者","Borrador"
"OverKiller","肢解者","Butcher","Мясник","肢解者","Carnicero"
"Hangman","刽子手","Hangman","Вешатель","劊子手","Ahorcador"
"Swooper","隐匿者","Swooper","Невидимка","隱身人","Swooper"
"Crewpostor","船鬼","Crewpostor","Двуликий","船鬼","TripuLostor"
"Wildling","野人","Wildling","Одичалый","Wildling","Salvaje"
"Trickster","骗术师","Trickster","Трюкач","Trickster","Fullero"
"Vindicator","卫道士","Vindicator","Продажный","Vindicator","Vindicador"
"Parasite","寄生虫","Parasite","Паразит","Parasite","Parásito"
"Disperser","分散者","Disperser","Разбрасыватель","Disperser","Dispersador"
"Inhibitor","抑郁者","Inhibitor","Тугодум","Inhibitor","Inhibidor"
"Saboteur","破坏者","Saboteur","Cаботажник","Saboteur","Saboteador"
"Councillor","议员","Councillor","Взяточник","Councillor","Concejal"
"Dazzler","眩晕者","Dazzler","Ослепитель","Dazzler","Deslumbrante"
"Deathpact","死亡契约","Deathpact","Злой Купидон","Deathpact","Pacto De Muerte"
"Devourer","吞噬者","Devourer","Пожиратель","Devourer","Devorador"
"EvilDiviner","军师","Consigliere","Советник","Consigliere","Consigliere"
"Morphling","化形者","Morphling","Морфлинг","Morphling","Transformado"
"Twister","龙卷风","Twister","Твистер","Twister","Trabador"
"Lurker","潜伏者","Lurker","Скрытень","Lurker","Acechador"
"Convict","罪犯","Convict","Осужденный","Convict","Prisionero"
"Visionary","幻想家","Visionary","Визионер","Visionary","Visionario"
"Refugee","逃亡者","Refugee","Беженец","Refugee","Refugiado"
"Underdog","失败者","Underdog","Аутсайдер","Underdog","Indefenso"
"Ludopath","速度者","Ludopath","Людопат","Ludopath","Ludópata"
"Godfather","教父","Godfather","Крестный","Godfather","Padrino"
"Chronomancer","天文学家","Chronomancer","Хрономант","Chronomancer","Cronomante"
"Pitfall","设陷者","Pitfall","Ловушка","Pitfall","Trampa"
"Cultivator","","Berserker","","",""

"# 船员阵营 / Crewmates"
"Luckey","幸运儿","Luckey","Удачник","幸運兒","Suertudo"
"Needy","摆烂人","Lazy Guy","Ленивый Парень","擺爛人","Perezoso"
"SuperStar","大明星","Super Star","Супер Звезда","大明星","Super Estrella"
"CyberStar","网红","Celebrity","Знаменитость","網紅","Famoso"
"Cleanser","清洗者","Cleanser","Очиститель","Cleanser","Purificador"
"SwordsMan","侠客","Knight","Линчеватель","俠客","Caballero"
"Mayor","市长","Mayor","Мэр","市長","Juez"
"Paranoia","被害妄想症","Paranoid","Параноик","被害妄想症","Paranoico"
"Psychic","愚者","Psychic","Экстрасенс","愚者","Psíquico"
"SabotageMaster","修理工","Mechanic","Ремонтник","修理工","Mecánico"
"Sheriff","警长","Sheriff","Шериф","警長","Sheriff"
"Jailer","狱警","Jailor","Тюремщик","Jailor","Carcelero"
"CopyCat","模仿者","Copycat","Подражатель","Copycat","Copión"
"Snitch","告密者","Snitch","Стукач","告密者","Chivato"
"Marshall","展现者","Marshall","Маршалл","Marshall","Mariscal"
"SpeedBooster","增速者","Speed Booster","Ускоритель","增速師","TRectodactyl"
"Doctor","法医","Doctor","Доктор","法醫","Doctor"
"Dictator","独裁者","Dictator","Диктатор","獨裁主義者","Dictador"
"Detective","侦探","Detective","Детектив","偵探","Detective"
"NiceGuesser","正义赌怪","Vigilante","Добрый Угадыватель","正義賭怪","Justiciero"
"Transporter","传送师","Transporter","Транспортер","傳送師","Transportador"
"TimeManager","时间操控者","Time Manager","Мастер Времени","時間大師","Controlador Del Tiempo"
"Veteran","老兵","Veteran","Ветеран","老兵","Veterano"
"Bodyguard","保镖","Bodyguard","Телохранитель","保鑣","Guardaespaldas"
"Counterfeiter","赝品商","Deceiver","Обманщик","贗品商","Traficante"
"Grenadier","掷雷兵","Grenadier","Гренадёр","擲彈兵","Granadero"
"Medic","医生","Medic","Медик","軍醫","Médico"
"Divinator","调查员","Fortune Teller","Следователь","占卜師","Vidente"
"Judge","法官","Judge","Судья","法官","Juez"
"Mortician","入殓师","Mortician","Гробовщик","殯葬師","Director De Funeraria"
"Mediumshiper","通灵师","Medium","Медиум","通靈師","Médium"
"DovesOfNeace","和平之鸽","Pacifist","Пацифист","和平之鴿","Pacifista"
"Observer","观察者","Observer","Аудитор","窺視者","Espectador"
"Monarch","君主","Monarch","Монарх","Monarch","Monarca"
"Farseer","预言家","Overseer","Смотритель","Overseer","Supervisor"
"Bloodhound","验尸官","Coroner","Коронер","Coroner","Forense"
"Tracker","正义追踪者","Tracker","Трекер","Tracker","Rastreador"
"Merchant","商人","Merchant","Торговец","Merchant","Mercader"
"Retributionist","惩罚者","Retributionist","Возмездник","Retributionist","Castigador"
"Deputy","捕快","Deputy","Заместитель","Deputy","Político"
"Guardian","守护者","Guardian","Страж","Guardian","Guardián"
"Addict","瘾君子","Addict","Зависимый","Addict","Adicto"
"Tracefinder","寻迹者","Tracefinder","Искатель","Tracefinder","Buscador"
"Oracle","神谕","Oracle","Оракл","Oracle","Oráculo"
"Spiritualist","灵魂论者","Spiritualist","Мистик","Spiritualist","Espiritualista"
"Chameleon","变色龙","Chameleon","Хамелеон","Chameleon","Camaleón"
"ParityCop","检查员","Inspector","Инспектор","Inspector","Inspector"
"Admirer","仰慕者","Admirer","Поклонник","Admirer","Admirador"
"TimeMaster","时间之主","Time Master","Повелитель Времени","Time Master","Maestro Del Tiempo"
"Crusader","十字军","Crusader","Крестоносец","Crusader","Defensor"
"Reverie","遐想者","Reverie","Мечтатель","Reverie","Ensimismado"
"Lookout","瞭望员","Lookout","Дозорный","Lookout","Centinela"
"Monitor","通信员","Telecommunication","Коммуникатор","Telecommunication","Telecomunicación"
"Lighter","执灯人","Lighter","Зажигалка","Lighter","Encendedor"
"TaskManager","任务管理者","Task Manager","Мастер Задач","Task Manager","Administrador De Tareas"
"Witness","目击者","Witness","Свидетель","Witness","Testigo"

"# 中立阵营 / Neutrals"
"Jester","小丑","Jester","Шут","小丑","Bufón"
"Arsonist","纵火犯","Arsonist","Поджигатель","縱火犯","Incendiario"
"Terrorist","恐怖分子","Terrorist","Террорист","恐怖分子","Terrorista"
"Executioner","处刑人","Executioner","Палач","暴民","Verdugo"
"Lawyer","律师","Lawyer","Адвокат","Lawyer","Abogado"
"Opportunist","投机者","Opportunist","Выживший","投機主義者","Oportunista"
"Mario","马里奥","Vector","Вектор","瑪利歐","Vector"
"Jackal","豺狼","Jackal","Шакал","豺狼","Chacal"
"God","神","God","Дьявол","神","Dios"
"Innocent","冤罪师","Innocent","Обвинитель","冤罪師","Inocente"
"Pelican","鹈鹕","Pelican","Пеликан","鵜鶘","Pelícano"
"Revolutionist","革命家","Revolutionist","Революционер","革命家","Revolucionista"
"FFF","FFF团","Hater","Бессердечник","單身狗","Resentido"
"Konan","柯南","Konan","Конан","柯南","Konan"
"Gamer","玩家","Demon","Демон","玩家","Demonio"
"DarkHide","潜藏者","Stalker","Сталкер","潛藏者","Acosador"
"Workaholic","工作狂","Workaholic","Трудоголик","工作狂","Adicto al trabajo"
"Collector","集票者","Collector","Коллектор","集票者","Coleccionista"
"Provocateur","自爆卡车","Provocateur","Провокатор","神風特攻隊","Provocador"
"BloodKnight","嗜血骑士","Blood Knight","Кровный Рыцарь","嗜血騎士","Caballero Sanguinario"
"PlagueBearer","瘟疫使者","Plaguebearer","Носитель Чумы","Plaguebearer","Transmisor de la plaga"
"Pestilence","瘟疫","Pestilence","Чума","Pestilence","Pestilencia"
"Glitch","缺点者","Glitch","Ошибка","活死人","Glitch"
"Sidekick","跟班","Sidekick","Союзник","Sidekick","Secuaz"
"NWitch","巫婆","Witch","Заклинатель","Witch","Bruja"
"Totocalcio","赌徒","Follower","Последователь","赌徒","Seguidor"
"Succubus","魅魔","Cultist","Суккуб","魅魔","Sectario"
"NSerialKiller","连环杀手","Serial Killer","Маньяк","Serial Killer","Asesino En Serie"
"Juggernaut","天启","Juggernaut","Джаггернаут","Juggernaut","Coloso"
"Infectious","感染者","Infectious","Заразный","Infectious","Infeccioso"
"Virus","病毒","Virus","Вирус","Virus","Virus"
"Pursuer","追击者","Pursuer","Преследователь","Pursuer","Perseguidor"
"Phantom","幻影","Phantom","Фантом","Phantom","Fantasma"
"Pirate","决斗者","Pirate","Пират","Pirate","Pirata"
"Agitater","煽动者","Agitator","Агитатор","Agitator","Agitador"
"Maverick","独行者","Maverick","Бродяга","Maverick","Disidente"
"CursedSoul","被诅咒的灵魂","Cursed Soul","Проклятый","Cursed Soul","Alma Maldita"
"Pickpocket","小偷","Pickpocket","Карманник","Pickpocket","Mangante"
"Traitor","背叛者","Traitor","Трейтор","Traitor","Traidor"
"Vulture","秃鹫","Vulture","Стервятник","Vulture","Buitre"
"Medusa","美杜莎","Medusa","Медуза","Medusa","Medusa"
"Baker","面包师","Baker","Пекарь","Baker","Panadero"
"Famine","饥荒","Famine","Голод","Famine","Hambruna"
"Spiritcaller","灵魂召唤者","Spiritcaller","Призыватель","Spiritcaller","Llama-espíritus"
"Amnesiac","失忆者","Amnesiac","Амнезияк","Amnesiac","Amnésico"
"Masochist","受虐狂","Masochist","Мазохист","Masochist","Mazoquista"
"Doomsayer","末日赌怪","Doomsayer","Предсказатель","Doomsayer","Agorero"
"Shroud","裹尸布","Shroud","Накрыватель","Shroud","Mortaja"
"Werewolf","狼人","Werewolf","Оборотень","Werewolf","Hombre Lobo"
"Shaman","萨满","Shaman","Шаман","Shaman","Chamán"
"Seeker","探索者","Seeker","Искатель","Seeker","Buscador"
"Occultist","神秘者","Occultist","Окультист","Occultist","Ocultista"
"Shade","遮蔽者","Shade","Тень","Shade","Sombra"
"SoulCollector","灵魂收集者","Soul Collector","Коллектор Душ","Soul Collector","Coleccionista De Sombras"
"Romantic","浪漫者","Romantic","Романтик","Romantic","Romántico"
